r,m,n_eq
15,3,5
63,3,5
27,1,4
189,3,5
35721,4,6
567,3,3
81,2,2
9,0,3
189,1,2
5103,5,8
3,1,2
9,0,2
81,3,5
27,1,3
567,2,3
729,0,5
1701,4,6
3,0,1
243,2,3
9,3,2
3,1,3
27,3,3
3,2,2
81,1,3
3969,1,5
5103,2,3
189,0,3
45927,3,5
9,0,3
243,4,5
567,4,6
567,6,5
63,2,4
27,2,3
107163,3,6
729,1,6
27,3,4
1,0,2
1,1,1
27,2,3
567,3,5
27,2,3
49,3,4
1,0,1
9,2,4
81,6,6
3645,4,6
567,4,4
567,3,4
9,0,2
3,2,1
27,3,4
3,2,4
63,1,4
9,1,2
107163,4,4
1,0,1
9,4,6
1,1,2
5103,2,7
189,2,4
9,2,4
135,1,6
243,3,4
9,1,3
35721,2,4
81,1,4
1,2,3
27,1,2
1,1,1
9,0,2
3,1,2
5103,4,4
3,2,3
9,2,3
27,0,3
81,2,4
3969,4,4
567,3,4
3,0,2
3,0,1
9,2,3
3,1,1
1701,5,4
1,0,3
27,0,5
27,1,4
1701,4,5
3,3,2
107163,3,6
35721,2,6
81,1,5
64827,3,5
3,2,3
9,2,2
27,1,2
9,2,3
1,0,3
27,0,1
7203,2,3
6251175,6,7
9,2,2
567,5,6
9,0,2
9,1,3
3,3,5
1361367,7,7
81,2,5
1,0,3
343,4,5
27,1,3
243,0,3
9,0,3
7,1,3
9,1,2
243,5,5
2187,2,4
1701,2,3
9,2,2
1,2,2
3,2,3
1,0,1
81,3,3
27,0,2
1701,4,5
27,0,3
63,5,5
9,0,1
81,2,5
11907,4,6
343,4,6
1,0,1
9,2,3
81,0,4
27,2,3
1,0,2
3,0,2
189,4,3
3,0,2
27,0,3
21,5,4
3,0,2
189,1,4
9,4,3
83349,1,6
27,1,3
9,2,5
321489,8,6
1,1,4
27,3,4
5103,1,7
1701,2,4
1701,4,5
9,3,2
27,2,2
3,0,2
63,4,6
1,0,1
5103,3,5
9,2,5
9,1,2
27,0,3
1,0,1
27,4,3
27,0,3
3,1,2
147,1,4
729,1,5
243,0,3
189,2,4
7,2,4
1701,1,4
567,4,3
1701,3,4
10935,2,6
1,0,2
27,1,2
27,1,3
189,2,4
9,1,2
27,4,4
729,1,5
81,0,3
729,4,4
1,1,1
81,7,6
189,2,3
27,1,3
81,4,4
35721,6,5
9,2,4
35721,1,6
9,0,3
3,0,2
1,2,1
9,1,3
1,4,4
729,3,4
1,0,2
9,0,4
1,1,1
21,0,4
729,3,4
7203,2,4
9,1,4
729,0,3
3,1,1
8505,2,4
3,0,3
27,0,2
189,2,5
21,2,3
81,1,4
27,2,3
9,1,2
3,2,5
3,2,3
5250987,3,7
3,1,1
27,0,4
567,2,4
567,4,4
567,5,5
194481,5,5
3,2,4
